"category","date_in","date_in_posix","clerk_id_in","type_code","product_scancode","customer_no_sold","p_description"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wc2955",NA,"pants"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1778",NA,"pants"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1779",NA,"sweat shirt"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1685",NA,"shirt"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1754",NA,"pj,  night gowns,  robes"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1689",NA,"skirt"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1693",NA,"sweat shirt"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1705",NA,"dress"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1697",NA,"pj,  night gowns,  robes"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1892",NA,"sweat shirt"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1864",NA,"pj,  night gowns,  robes"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1868",NA,"pj,  night gowns,  robes"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1876",NA,"pj,  night gowns,  robes"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1831",NA,"pj,  night gowns,  robes"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1844",NA,"pj,  night gowns,  robes"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1848",NA,"pj,  night gowns,  robes"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1860",NA,"pj,  night gowns,  robes"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1799",NA,"shirt"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1762",NA,"shirt"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1775",NA,"dress"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1771",NA,"overalls"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1787",NA,"shirt"
1,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1827",NA,"dress"
